('2022-01-01', 'Db', 10000.0, 473292.87, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-01-10', 'Db', 400.0, 77192.04, 'UPI', 'SAIDUSABI', None, 0, 0, 0)
('2023-01-10', 'Db', 6000.0, 71192.04, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2023-01-17', 'Db', 3450.0, 67742.04, 'UPI', 'MADANLAL', None, 0, 0, 0)
('2023-01-17', 'Db', 3000.0, 64742.04, 'UPI', 'PRAKASHK', None, 0, 0, 0)
('2023-01-17', 'Db', 11000.0, 53742.04, 'UPI', 'MOHAMMED', None, 0, 0, 1)
('2023-01-17', 'Db', 500.0, 53242.04, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2023-01-17', 'Db', 600.0, 52642.04, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2023-01-18', 'Db', 1000.0, 51642.04, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-01-19', 'Cr', 7.09, 51649.13, 'ECS', None, None, 0, 0, 0)
('2023-01-23', 'Db', 1.0, 51648.13, 'UPI', 'CHANDRAKA', None, 0, 0, 0)
('2023-01-23', 'Db', 2800.0, 48848.13, 'UPI', 'CHANDRAKA', None, 0, 0, 0)
('2023-01-23', 'Db', 1500.0, 47348.13, 'UPI', 'PRATIKC', None, 0, 0, 0)
('2023-01-24', 'Cr', 10000.0, 57348.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-01-25', 'Db', 1.0, 57347.13, 'UPI', 'JESARAMG', None, 0, 0, 0)
('2023-01-25', 'Db', 700.0, 56647.13, 'UPI', 'JESARAMG', None, 0, 0, 0)
('2023-01-27', 'Db', 1000.0, 55647.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-01-27', 'Db', 290.0, 55357.13, 'UPI', 'RAVIKUMAR', None, 0, 0, 0)
('2023-01-27', 'Db', 324.0, 55033.13, 'UPI', 'UTTAMRAJ', None, 0, 0, 0)
('2023-01-29', 'Db', 148.0, 54885.13, 'DEBIT CARD ANNUAL', None, None, 0, 0, 0)
('2023-01-30', 'Db', 1000.0, 53885.13, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2023-01-31', 'Cr', 4570.0, 58455.13, 'UPI', 'ASGARALI', None, 0, 0, 0)
('2023-01-31', 'Cr', 1430.0, 59885.13, 'UPI', 'ASGARALI', None, 0, 0, 0)
('2023-01-31', 'Db', 10000.0, 49885.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-01-31', 'Db', 10000.0, 39885.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-01-31', 'Db', 5000.0, 34885.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-01', 'Cr', 476.0, 35361.13, 'SBINT', None, None, 0, 0, 0)
('2023-02-02', 'Db', 260.0, 35101.13, 'UPI', 'SIMABAYl', None, 0, 0, 0)
('2023-02-03', 'Db', 26286.0, 8815.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-02-03', 'Cr', 43236.0, 52051.13, 'NEFT', None, None, 0, 0, 1)
('2023-02-03', 'Db', 374.0, 51677.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-02-05', 'Db', 333.0, 51344.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-02-06', 'Db', 16000.0, 35344.13, 'UPI', 'ABDULHAME', None, 0, 0, 1)
('2023-02-08', 'Cr', 1.0, 35345.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-02-08', 'Cr', 11500.0, 46845.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-02-09', 'Db', 101.0, 46744.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-02-09', 'Db', 5000.0, 41744.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-10', 'Db', 1000.0, 40744.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-02-13', 'Db', 5000.0, 35744.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-16', 'Db', 5000.0, 30744.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-16', 'Cr', 5000.0, 35744.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-16', 'Db', 5000.0, 30744.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-02-16', 'Db', 300.0, 30444.13, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2023-02-21', 'Db', 1000.0, 29444.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-02-22', 'Cr', 4000.0, 33444.13, 'UPI', 'MOHAMMEDI', None, 0, 0, 0)
('2023-02-23', 'Cr', 8.0, 33452.13, 'ECS', None, None, 0, 0, 0)
('2023-02-24', 'Cr', 119.0, 33571.13, 'ECS', None, None, 0, 0, 0)
('2023-02-28', 'Db', 33571.0, 0.13, 'UNKNOWN', None, None, 0, 0, 1)
('2023-02-28', 'Cr', 28386.0, 28386.13, 'NEFT', None, None, 0, 0, 1)
('2023-03-01', 'Db', 2000.0, 26386.13, 'UPI', 'AKHEELAH', None, 0, 0, 0)
('2023-03-02', 'Db', 1000.0, 25386.13, 'UPI', 'MOHAMMEDI', None, 0, 0, 0)
('2023-03-02', 'Db', 2000.0, 23386.13, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2023-03-02', 'Db', 2000.0, 21386.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-03-03', 'Cr', 11500.0, 32886.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-03-04', 'Db', 699.0, 32187.13, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-03-04', 'Db', 436.0, 31751.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-03-05', 'Db', 26286.0, 5465.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-03-07', 'Db', 100.0, 5365.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-03-09', 'Cr', 1.0, 5366.13, 'IMPS', None, None, 0, 0, 0)
('2023-03-11', 'Db', 177.0, 5189.13, 'ECS', None, None, 0, 0, 0)
('2023-03-13', 'Db', 1000.0, 4189.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-03-26', 'Db', 12.0, 4177.13, 'SMS CHARGES', None, None, 0, 0, 0)
('2023-03-27', 'Db', 1000.0, 3177.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-03-30', 'Cr', 1000.0, 4177.13, 'UPI', 'MOHAMMED', None, 0, 0, 0)
('2023-04-03', 'Cr', 450.0, 4627.13, 'NEFT', None, None, 0, 0, 0)
('2023-04-03', 'Cr', 10000.0, 14627.13, 'UPI', 'ASGARALI', None, 0, 0, 1)
('2023-04-04', 'Db', 1000.0, 13627.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-04-05', 'Db', 59.0, 13568.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-04-05', 'Db', 2000.0, 11568.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-04-07', 'Db', 1000.0, 10568.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-04-11', 'Db', 2500.0, 8068.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-04-11', 'Db', 5000.0, 3068.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-04-13', 'Cr', 44136.0, 47204.13, 'NEFT', None, None, 0, 0, 1)
('2023-04-15', 'Db', 400.0, 46804.13, 'UPI', 'KANSINGH', None, 0, 0, 0)
('2023-04-15', 'Db', 9000.0, 37804.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-04-17', 'Db', 7800.0, 30004.13, 'UPI', 'BUDESAHEB', None, 0, 0, 1)
('2023-04-18', 'Cr', 25000.0, 55004.13, 'NEFT', None, None, 0, 0, 1)
('2023-04-20', 'Db', 532.0, 54472.13, 'UPI', 'RANGOL|S', None, 0, 0, 0)
('2023-04-20', 'Db', 225.0, 54247.13, 'UPI', 'SUNILSHA', None, 0, 0, 0)
('2023-04-24', 'Db', 120.0, 54127.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-04-27', 'Db', 1129.0, 52998.13, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-04-27', 'Db', 45.0, 52953.13, 'UPI', 'SHIVANAND', None, 0, 0, 0)
('2023-04-28', 'Db', 666.0, 52287.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-04-28', 'Db', 216.0, 52071.13, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-04-28', 'Db', 2000.0, 50071.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-04-28', 'Db', 1000.0, 49071.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-04-29', 'Db', 9000.0, 40071.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-05-01', 'Cr', 179.0, 40250.13, 'SBINT', None, None, 0, 0, 0)
('2023-05-01', 'Db', 1500.0, 38750.13, 'UPI', 'SHRIGOPA', None, 0, 0, 0)
('2023-05-02', 'Cr', 25000.0, 63750.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-05-02', 'Cr', 5000.0, 68750.13, 'UPI', 'MOHAMMEDI', None, 0, 0, 0)
('2023-05-05', 'Db', 26286.0, 42464.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-05-06', 'Cr', 52449.0, 94913.13, 'NEFT', None, None, 0, 0, 1)
('2023-05-07', 'Cr', 880.0, 95793.13, 'UPI', 'SANTOSHI', None, 0, 0, 0)
('2023-05-08', 'Db', 1520.0, 94273.13, 'UPI', 'SUNILKA', None, 0, 0, 0)
('2023-05-11', 'Db', 9000.0, 85273.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-05-11', 'Db', 9000.0, 76273.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-05-11', 'Db', 1000.0, 75273.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-05-16', 'Db', 26286.0, 48987.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-05-18', 'Db', 666.0, 48321.13, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-05-18', 'Cr', 600.0, 48921.13, 'UPI', 'RAHILMAN', None, 0, 0, 0)
('2023-05-20', 'Db', 3000.0, 45921.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-05-21', 'Db', 1700.0, 44221.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-05-23', 'Db', 4000.0, 40221.13, 'UPI', 'MANENTER', None, 0, 0, 0)
('2023-05-23', 'Db', 2000.0, 38221.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-05-23', 'Cr', 550.0, 38771.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-05-25', 'Cr', 2200.0, 40971.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-05-27', 'Db', 600.0, 40371.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-05-28', 'Db', 3000.0, 37371.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-05-30', 'Db', 420.0, 36951.13, 'UPI', 'HESCOMBI', None, 0, 0, 0)
('2023-06-01', 'Cr', 49949.0, 86900.13, 'NEFT', None, None, 0, 0, 1)
('2023-06-01', 'Db', 1000.0, 85900.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-06-01', 'Cr', 11500.0, 97400.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-06-02', 'Db', 26286.0, 71114.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-06-02', 'Db', 9000.0, 62114.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-06-02', 'Db', 9000.0, 53114.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-06-05', 'Db', 3020.0, 50094.13, 'UPI', 'VINAYAKV', None, 0, 0, 0)
('2023-06-05', 'Db', 1000.0, 49094.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-06-05', 'Db', 1000.0, 48094.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-06-14', 'Db', 6977.0, 41117.13, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-06-16', 'Db', 2000.0, 39117.13, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2023-06-19', 'Cr', 10000.0, 49117.13, 'UPI', 'KOTINATOT', None, 0, 0, 1)
('2023-06-20', 'Db', 1000.0, 48117.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-06-21', 'Db', 1450.0, 46667.13, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2023-06-21', 'Db', 440.0, 46227.13, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2023-06-22', 'Db', 9000.0, 37227.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-06-24', 'Db', 12.0, 37215.13, 'SMS CHARGES', None, None, 0, 0, 0)
('2023-06-25', 'Db', 750.0, 36465.13, 'UPI', 'KANSINGH', None, 0, 0, 0)
('2023-06-25', 'Db', 335.0, 36130.13, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-06-27', 'Db', 1000.0, 35130.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-06-29', 'Db', 18000.0, 17130.13, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2023-06-29', 'Db', 7000.0, 10130.13, 'UPI', 'KHALILABA', None, 0, 0, 1)
('2023-07-02', 'Db', 340.0, 9790.13, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-07-02', 'Db', 9000.0, 790.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-07-02', 'Cr', 9000.0, 9790.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-07-02', 'Db', 20.0, 9770.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-07-03', 'Db', 3020.0, 6750.13, 'UPI', 'SUNILKA', None, 0, 0, 0)
('2023-07-03', 'Db', 6000.0, 750.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-07-04', 'Cr', 51705.0, 52455.13, 'NEFT', None, None, 0, 0, 1)
('2023-07-04', 'Cr', 11500.0, 63955.13, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-07-05', 'Db', 500.0, 63455.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-07-05', 'Db', 339.0, 63116.13, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-07-06', 'Db', 500.0, 62616.13, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-07-06', 'Db', 26286.0, 36330.13, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2023-07-08', 'Cr', 7000.0, 43330.13, 'UPI', 'ASGARALI', None, 0, 0, 1)
('2023-07-08', 'Db', 7000.0, 36330.13, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-07-10', 'Cr', 7.09, 36337.22, 'ECS', None, None, 0, 0, 0)
('2023-07-10', 'Cr', 7.09, 36344.31, 'ECS', None, None, 0, 0, 0)
('2023-07-10', 'Cr', 2000.0, 38344.31, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2023-07-11', 'Db', 990.0, 37354.31, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-07-11', 'Cr', 16847.0, 54201.31, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2023-07-12', 'Db', 964.98, 53236.33, 'UPI', 'ECOMEXPRE', None, 0, 0, 0)
('2023-07-12', 'Cr', 9780.0, 63016.33, 'NEFT', None, None, 0, 0, 1)
('2023-07-13', 'Db', 26847.0, 36169.33, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-07-16', 'Db', 2119.0, 34050.33, 'UPI', 'HESCOMBI', None, 0, 0, 0)
('2023-07-17', 'Db', 260.0, 33790.33, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2023-07-19', 'Db', 500.0, 33290.33, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-07-20', 'Db', 220.0, 33070.33, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-07-20', 'Db', 2000.0, 31070.33, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2023-07-21', 'Db', 339.0, 30731.33, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-07-24', 'Db', 5000.0, 25731.33, 'UPI', 'AKHEELAH', None, 0, 0, 0)
('2023-07-25', 'Db', 1300.0, 24431.33, 'UPI', 'BHAJARANG', None, 0, 0, 0)
('2023-07-25', 'Db', 5000.0, 19431.33, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-07-25', 'Cr', 100.0, 19531.33, 'UPI', 'MAHAMMADG', None, 0, 0, 0)
('2023-07-28', 'Db', 20.0, 19511.33, 'OTHER', None, None, 0, 0, 0)
('2023-07-28', 'Db', 5000.0, 14511.33, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-07-31', 'Db', 3020.0, 11491.33, 'UPI', 'SUNILKA', None, 0, 0, 0)
('2023-08-01', 'Cr', 324.0, 11815.33, 'SBINT', None, None, 0, 0, 0)
('2023-08-02', 'Cr', 7.09, 11822.42, 'ECS', None, None, 0, 0, 0)
('2023-08-03', 'Db', 10000.0, 1822.42, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-08-03', 'Db', 62.0, 1760.42, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-08-03', 'Db', 100.0, 1660.42, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-08-04', 'Db', 223.0, 1437.42, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-08-04', 'Db', 722.0, 715.42, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-08-09', 'Cr', 3000.0, 3715.42, 'UPI', 'KOTINATOT', None, 0, 0, 0)
('2023-08-09', 'Db', 2000.0, 1715.42, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-08-10', 'Db', 669.0, 1046.42, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-08-12', 'Cr', 1500.0, 2546.42, 'UPI', 'KOTINATOT', None, 0, 0, 0)
('2023-08-12', 'Db', 2200.0, 346.42, 'UPI', 'SANJAYLA', None, 0, 0, 0)
('2023-08-13', 'Db', 1.0, 345.42, 'UPI', 'BANKACCO', None, 0, 0, 0)
('2023-08-16', 'Cr', 51905.0, 52250.42, 'NEFT', None, None, 0, 0, 1)
('2023-08-17', 'Db', 26286.0, 25964.42, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-08-17', 'Db', 300.0, 25664.42, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-08-18', 'Cr', 12500.0, 38164.42, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-08-27', 'Db', 450.0, 37714.42, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-08-28', 'Db', 3020.0, 34694.42, 'UPI', 'SUNILKA', None, 0, 0, 0)
('2023-08-28', 'Cr', 2000.0, 36694.42, 'UPI', 'MANIYARA', None, 0, 0, 0)
('2023-08-28', 'Db', 1107.0, 35587.42, 'UPI', 'AMAZONPA', 'Shopping', 0, 0, 0)
('2023-08-28', 'Db', 9000.0, 26587.42, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-08-29', 'Db', 410.0, 26177.42, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-08-30', 'Cr', 934.16, 27111.58, 'NEFT', None, None, 0, 0, 0)
('2023-09-02', 'Cr', 12500.0, 39611.58, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-09-02', 'Cr', 51905.0, 91516.58, 'NEFT', None, None, 0, 0, 1)
('2023-09-02', 'Db', 1.0, 91515.58, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-09-03', 'Db', 200.0, 91315.58, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-09-03', 'Db', 1530.0, 89785.58, 'UPI', 'SHRIRAGH', None, 0, 0, 0)
('2023-09-03', 'Cr', 1.0, 89786.58, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-09-04', 'Db', 200.0, 89586.58, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-09-04', 'Db', 9000.0, 80586.58, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-09-04', 'Db', 85.0, 80501.58, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-09-05', 'Db', 26286.0, 54215.58, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2023-09-05', 'Db', 19.0, 54196.58, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-09-06', 'Db', 5000.0, 49196.58, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 0)
('2023-09-07', 'Cr', 1700.0, 50896.58, 'UPI', 'KOTINATOT', None, 0, 0, 0)
('2023-09-08', 'Db', 580.0, 50316.58, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-09-08', 'Db', 3050.0, 47266.58, 'UPI', 'MANAPPURA', None, 0, 0, 0)
('2023-09-08', 'Db', 5000.0, 42266.58, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2023-09-08', 'Db', 62.0, 42204.58, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-09-10', 'Db', 1500.0, 40704.58, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-09-12', 'Db', 120.0, 40584.58, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-09-12', 'Cr', 84.0, 40668.58, 'ECS', None, None, 0, 0, 0)
('2023-09-13', 'Db', 540.0, 40128.58, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-09-13', 'Db', 1530.0, 38598.58, 'UPI', 'SHRIRAGH', None, 0, 0, 0)
('2023-09-13', 'Db', 9000.0, 29598.58, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-09-14', 'Cr', 37230.0, 66828.58, 'FUNDS TRANSFER DEBIT', None, None, 0, 0, 1)
('2023-09-16', 'Db', 824.0, 66004.58, 'UPI', 'HESCOMBI', None, 0, 0, 0)
('2023-09-17', 'Db', 888.0, 65116.58, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2023-09-17', 'Db', 793.0, 64323.58, 'UPI', 'MEESHO', 'Shopping', 0, 0, 0)
('2023-09-20', 'Db', 1700.0, 62623.58, 'UPI', 'SHRIRAGH', None, 0, 0, 0)
('2023-09-21', 'Db', 422.0, 62201.58, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-09-21', 'Db', 10000.0, 52201.58, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-09-22', 'Db', 500.0, 51701.58, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-09-23', 'Cr', 7.09, 51708.67, 'ECS', None, None, 0, 0, 0)
('2023-09-23', 'Db', 17.0, 51691.67, 'SMS CHARGES', None, None, 0, 0, 0)
('2023-09-25', 'Db', 3020.0, 48671.67, 'UPI', 'SUNILKA', None, 0, 0, 0)
('2023-09-25', 'Db', 500.0, 48171.67, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2023-09-25', 'Db', 740.0, 47431.67, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-09-25', 'Db', 100.0, 47331.67, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2023-09-25', 'Db', 669.0, 46662.67, 'UPI', 'JIOINAPP', None, 0, 0, 0)
('2023-09-27', 'Db', 10000.0, 36662.67, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2023-10-01', 'Db', 3600.0, 33062.67, 'UPI', 'INDIANIN', None, 0, 0, 0)
('2023-10-03', 'Db', 530.0, 32532.67, 'UPI', 'ASHOKHUC', None, 0, 0, 0)
('2023-10-03', 'Db', 1000.0, 31532.67, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-10-04', 'Db', 26286.0, 5246.67, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2023-10-04', 'Db', 220.0, 5026.67, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-10-04', 'Db', 286.0, 4740.67, 'UPI', 'DADAKHALA', None, 0, 0, 0)
('2023-10-05', 'Cr', 51905.0, 56645.67, 'NEFT', None, None, 0, 0, 1)
('2023-10-05', 'Db', 48.0, 56597.67, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2023-10-06', 'Cr', 41050.0, 97647.67, 'CHEQUE', None, None, 0, 0, 1)
('2023-10-06', 'Cr', 107.8, 97755.47, 'ECS', None, None, 0, 0, 0)
('2023-10-06', 'Cr', 23586.0, 121341.47, 'UPI', 'DADAKHALA', None, 0, 0, 1)
('2023-10-06', 'Db', 26286.0, 95055.47, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-10-07', 'Db', 100.0, 94955.47, 'UPI', 'LAGADEKSA', None, 0, 0, 0)
